True_X,True_Y,Predicted_X,Predicted_Y,Predicted_Dist
0.35699674,-0.0054463805,0.36963058,0.032315657,0.03981941
0.8402988,-0.0047642402,0.90024054,-0.0098347105,0.060155842
0.62297475,-0.23718275,0.5533082,-0.2674834,0.075970784
0.5354297,-0.3699712,0.5542124,-0.34782487,0.029038735
0.60254234,-0.23774055,0.55326337,-0.26791903,0.05778545
0.83018535,-0.047007047,0.8998861,-0.009683434,0.079064794
0.5338651,0.36500663,0.572612,0.37500364,0.040015772
0.5388948,0.39397022,0.5727356,0.38476133,0.035071436
1.0902475,0.033724066,1.0282426,0.086236626,0.0812538
1.0388488,0.13432433,1.034043,0.114820614,0.020087074
0.35406587,-0.0043896474,0.37027928,0.032352224,0.04016018
0.36160713,0.13935235,0.38240963,0.12891181,0.0232755
1.0349706,0.18598099,1.0353322,0.11722812,0.06875382
